date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-26 13:45:00,7.52,7.92,0.0,0.0,5.6,12.8
2011-08-26 14:00:00,7.55,7.69,0.0,0.0,6.6,12.8
2011-08-26 14:15:00,7.51,7.9,0.0,0.0,5.3,13.3
2011-08-26 14:30:00,7.53,7.48,0.0,0.0,6.3,14.3
2011-08-26 14:45:00,7.69,7.45,0.0,0.0,6.0,20.2
2011-08-26 15:00:00,7.66,7.43,0.0,0.0,5.7,18.4
2011-08-26 15:15:00,7.59,7.57,0.0,0.0,6.8,18.7
2011-08-26 15:30:00,7.62,7.42,0.0,0.0,5.7,19.9
2011-08-26 15:45:00,7.62,7.45,0.0,0.0,5.5,20.6
2011-08-26 16:00:00,7.67,7.43,0.0,0.0,5.2,19.8
2011-08-26 16:15:00,7.53,7.37,0.0,0.0,4.1,23.1
2011-08-26 16:30:00,7.75,7.51,0.0,0.0,4.7,21.2
2011-08-26 16:45:00,7.56,7.55,0.0,0.0,4.4,23.4
2011-08-26 17:00:00,7.57,7.37,0.0,0.0,4.8,21.5
2011-08-26 17:15:00,7.64,7.47,0.0,0.0,4.2,24.8
2011-08-26 17:30:00,7.51,7.42,0.0,0.0,4.6,27.1
2011-08-26 17:45:00,7.59,7.2,0.0,0.0,3.9,23.5
2011-08-26 18:00:00,7.65,7.4,0.0,0.0,4.4,23.0
2011-08-26 18:15:00,7.42,7.49,0.0,0.0,4.0,24.7
2011-08-26 18:30:00,7.45,7.7,0.0,0.0,3.8,19.0
2011-08-26 18:45:00,7.5,7.47,0.0,0.0,4.2,21.6
2011-08-26 19:00:00,7.59,7.69,0.0,0.0,3.9,18.7
2011-08-26 19:15:00,7.73,7.66,0.0,0.0,4.3,20.1
2011-08-26 19:30:00,7.58,7.69,0.0,0.0,3.8,17.8
2011-08-26 19:45:00,7.62,7.58,0.0,0.0,3.9,22.2
2011-08-26 20:00:00,7.74,7.68,0.0,0.0,4.1,27.4
2011-08-26 20:15:00,7.55,7.66,0.0,0.0,3.9,887.0
2011-08-26 20:30:00,7.18,7.54,0.0,0.0,3.2,32.2
2011-08-26 20:45:00,7.38,7.61,0.0,0.0,3.5,100.8
2011-08-26 21:00:00,7.5,7.76,0.0,0.0,3.6,17.2
2011-08-26 21:15:00,7.38,7.76,0.0,0.0,4.8,17.9
2011-08-26 21:30:00,7.8,7.71,0.0,0.0,3.9,19.9
2011-08-26 21:45:00,7.78,7.55,0.0,0.0,4.2,20.1
2011-08-26 22:00:00,7.94,7.55,0.0,0.0,4.2,15.3
2011-08-26 22:15:00,7.92,7.52,0.0,0.0,4.5,15.9
2011-08-26 22:30:00,7.86,7.51,0.0,0.0,5.3,19.1
2011-08-26 22:45:00,7.92,7.47,0.0,0.0,5.2,21.9
2011-08-26 23:00:00,7.86,7.49,0.0,0.0,6.5,20.5
2011-08-26 23:15:00,7.86,7.59,0.0,0.0,5.0,19.1
2011-08-26 23:30:00,7.74,7.64,0.0,0.0,4.6,20.9
2011-08-26 23:45:00,7.82,7.35,0.0,0.0,4.7,26.6
2011-08-27 00:00:00,7.68,7.21,0.0,0.0,4.0,29.7
2011-08-27 00:15:00,7.79,7.14,0.0,0.0,4.5,24.9
2011-08-27 00:30:00,7.7,7.33,0.0,0.0,4.3,66.6
2011-08-27 00:45:00,7.77,7.42,0.0,0.0,5.5,125.0
2011-08-27 01:00:00,7.81,7.48,0.0,0.0,6.4,64.6
2011-08-27 01:15:00,7.75,7.44,0.0,0.0,4.8,37.2
2011-08-27 01:30:00,7.77,7.48,0.0,0.0,5.2,22.1
